Intentional Serendipity: Corey Ford at TEDxUNC,34312,Science & Technology
Extreme Push-up Fail!,29857,Sports
Laura Marling - My Manic & I,1257538,Music
Wax:  "I Shoulda Tried Harder" (Official Music Video),1750357,Music
Wax:  "We Can't All Be Heroes" (Official Music Video),1362492,Music
Watsky- Strong as an Oak [Cardboard Castles],7275044,Music
Macgregor (Wax & Herbal T)- Lost and Found,2860,Music
MRR-ADM - 3hree,14527,Music
Elder - The End,304090,Music
Septic Flesh - Pyramid God (2011),435494,Music
Ashes In The Snow - Mono,887029,Music
Metallica: One (Official Music Video),188743043,Music
Chicane feat. Blandine - What Am I Doing Here? (Walsh & McAuley Remix),231339,Music
Chicane feat. Blandine - What Am I Doing Here? (Walsh & McAuley Remix),231339,Music
Gymnopédie No.1 - Emile Pandolfi,143431,Music
Bach Cello Suite No 3 Movement 1 // Rinat Ibragimov,455512,Music
Duke Ellington -- Tang,7496,Music
SOIL & "PIMP" SESSIONS "Summer Goddess",1615614,Music
Real Estate - All The Same,67001,Entertainment
alt-J (∆) Breezeblocks,215056040,Music
Real Estate - Its Real (Official Video),2231713,Music
Lament I "Bird's Lament" (audio) - Moondog,130248,Music
Ominous Beats - (Just let your) Soul glo (Remix),262634,Music
Monetrik - Blues Soup,54960,Music
Mr Scruff and Quantic - It's Dancing Time,872691,Music
Psycho Pass AMV [名前のない怪物],17482389,Film & Animation
Art Garfunkel - 99 Miles To L A,316942,Music
Death to Smoochy cookie scene,213833,Sports
Funny Moments of Nathan | Misfits Season 2,405543,Nonprofits & Activism
Hoppipolla music video by Sigur Ros with lyrics,723009,Music
L.A. Noire Soundtrack - Menu Theme [HQ],1856435,Music
Red Hot Chili Peppers - Can't Stop (Official Music Video),136897449,Music
Alanis Morissette - Everything (Video),6650645,Music
Chester Bennington from Linkin Park- "The Messenger" (HD) Live at MusiCares 5-6-2011,179503,Music
The Hard Way - Fort Minor (feat. Kenna),1090593,Music
Foo Fighters - All My Life (Official Music Video),81496951,Music
"Everything in its right place" music video,4131477,Music
Moonlight Sonata,73376585,Music
Missed Me - The Dresden Dolls,1259296,Music
The Dresden Dolls 'Girl Anachronism' music video,4147836,Music
Persona 3 Portable - Wipe All Out (Female Battle Theme),75604,Gaming
BOA - I Did it For Love,1348518,Music
Family guy makin fun of julian,37616,Comedy
Dove Real Beauty Sketches  - Extended version,99667,Entertainment
One Direction - What Makes You Beautiful (Official Video),1208820086,Music
Nyan Cat [original],183838339,Comedy
..:: U.F.O. - Belladonna ::..,460760,Music
Coldplay - Daylight,119768,Music
Funny Indian Music Video,237927,Comedy
Smooth Sax will be deployed in 3...2...1...,734448,Music
Michou • "Growing Younger" Official Music Video,205732,Music
Wisin & Yandel - Oye Donde Esta El Amor ft. Franco De Vita,49345604,Music
The Big Lebowski "Maude's Art" Scene (Julianne Moore),84281,People & Blogs
I am not Mr. Lebowski. You're Mr. Lebowski.,180761,Entertainment
Sleep - Dragonaut,61032,Music
Wild At Heart - Lula & Sailor Car Scene + Wicked Game,92465,Film & Animation
freelance whales    generator 1st floor,350863,Music
Poor Huemul :(,99521,Nonprofits & Activism
Cats Playing Patty-cake what they were saying...,23098562,Comedy
Port O'Brien I Woke Up Today Official Video,636433,Music
Menomena - Weird,145929,Music
Amanda Palmer - Idioteque (Radiohead Cover),121056,Music
Zee Avi - Concrete Wall Lyrics,75520,Music
The Black Keys - Lonely Boy [Official Music Video],124066149,Music
Soundgarden - Pretty Noose (Official Music Video),10397002,Music
Soundgarden - Burden In My Hand (Official Music Video),20600428,Music
Endless Possibilities Full Version,1119597,Music
Van Halen - Dreams,11417159,Music
"Russian Unicorn" — a bad lip reading of Michael Bublé,10723044,Music
Phantogram - Mouthful Of Diamonds,9530864,Music
Fire spinning in Goa,831,Autos & Vehicles
Mariah Carey - I Stay In Love (Official Music Video),34065821,Music
ISTJ vs ESTJ,35286,Education
T-Model Ford - I'm Insane,118348,Music
Junior Kimbrough Meet Me in the City,676040,People & Blogs
Hold On Hope By Guided By Voices With Lyrics,714928,Music
Evander Holyfield Tribute,816519,Sports
David Bowie - Subterraneans - Low,39904,Music
Junior Kimbrough Meet Me in the City,676040,People & Blogs
COMBUSTIBLE EDISON - Vertigogo,287320,Music
Wild Billy Childish And The Buff Medways 'Medway Wheelers',112681,Music
Pavement - Summer Babe (Winter Version),158714,Music
Best Of Jill Hives,26579,Music
William S. Burroughs plays drums vs. hop-frog vs. Phil Collins,4000,Music
Pee Wee's Big Adventure - I'm a rebel,356419,Entertainment
Aneka - Japanese Boy,7227283,Music
Kes (1969) - Original trailer,547704,Film & Animation
My Morning Jacket - Blue Moon,91203,Music
The Dark Knight Rises...And Then Falls Down.,70711,Comedy
Kes (1969) - Original trailer,547704,Film & Animation
Aladdin Riff Raft Street Rat (Perfect Cut),1048731,Film & Animation
Teddy Has An Operation,39889103,Education
Gaslamp Killer - Zalim,595065,Music
Mark Mathis Fox Weather-CharlotteNC,397796,Entertainment
Play Like Pinkie Pie,860756,Entertainment
Girls' Generation 소녀시대 'Gee' MV,262835600,Music
PLURALITY,779288,Film & Animation
Louis CK on Bacon,46621,Entertainment
Baraka - Dead Can Dance - The Host Of Seraphim [HD - 1080p],1802883,Music
Nickelback - How You Remind Me,484403024,Music
You're My Best Friend Lyrics - Queen,4430331,Music
The Lonely Island - I'm On A Boat (Explicit Version) ft. T-Pain (Official Video),64645134,Music
Of Monsters and Men - Lakehouse,1834057,Music
WALK THE MOON - Anna Sun (Official Video),26222130,Music
Pokemon Theme Song 'Gotta Catch Em All' For Orchestra (iTunes link below!),401453,Music
a message to all of our korean friends from josie and maria + birthday hyperness :'),245,People & Blogs
Blue in Green by. Miles Davis,16508164,Music
Steven Wilson - Luminol (from the Get All You Deserve Blu-Ray & DVD),1290588,Music
How To Make a Taco,1741679,Howto & Style
Avicii - 'Fade Into Darkness' (Official Vocal Edit),13006726,Music
budgie with hat                 帽子をかぶったセキセイインコ,175386,Pets & Animals
きゃりーぱみゅぱみゅ - PONPONPON  Kyary Pamyu Pamyu - PONPONPON,169527881,Music
"Calc." (Vocaloid) English Cover by Lizz Robinett,1361100,Music
Bon Jovi - Because We Can,22975181,Music
Tim Bendzko - Nur noch kurz die Welt retten (live),4396154,Entertainment
Newton Faulkner - Gone in the morning (Lyrics),235638,Music
Newton Faulkner - Gone in the morning (Lyrics),235638,Music
Laura Marling - A Creature I Don't Know,530853,Music
Adele - Someone Like You (Live in Her Home),108711034,Music
The 9 Enneagram Types at a Party,124817,People & Blogs
Josh Gabriel presents Winter Kills - Deep Down (Official Music Video) [High Quality],741528,Entertainment
Christina Perri - The Lonely [Official Lyric Video],38351708,Music
Owl City - Fireflies (Official Video),379375248,Music
CASA DEL MIRTO:BROTHER,3581,Music
4.- Green Day- ¡Viva La Gloria! [Lyrics] [HQ],2112644,Music
Beethoven 3rd Symphony (1/5); 1st movement; Bernstein,697289,Music
Flight of the Conchords Ep 5 Business Time,881648,Entertainment
What Am I To You,1092,Music
Memphis May Fire - Miles Away (Feat. Kellin Quinn) (Official Lyric Video),8435907,Music
Apoptygma Berzerk - You Keep Me From Breaking Apart (Implant mix),6472,Music
Major Lazer Feat Ricky Blaze & Nina Sky - Keep It Going Louder (with lyrics),24172,Music
N.A.S.A. - Gifted (feat. Kanye West Santogold & Lykke Li) [Official Music Video],3456077,Music
William Fitzsimmons - "Everything Has Changed",941343,Music
Ray LaMontagne - You Are The Best Thing,22426997,Music
Crystal Castles - Not In Love ft. Robert Smith of The Cure,26562724,Education
Jennifer Lucas - Take On Higher,191234,Music
【巡音ルカ】最後の涙が辿り着く場所は・・・【ルカオリジナル曲】,3133,People & Blogs
Conscious Evolution-by Donna the Buffalo - 11/17/06,29656,Music
Morphine - Cure for Pain,1713201,Music
The Best of Troll 2,857525,Entertainment
Tera Melos - Sunburn,24208,Music
American Football - Never Meant,1809811,Music
Foxy Shazam - I Like It,2795399,Music
THE WAYSEER MANIFESTO - [Official Video] (HQ),2146122,Education
Never seen again - Michael Davidson,685,Music
Never seen again - Michael Davidson,685,Music
Corrosion Of Conformity - Drowning In a Daydream,1295483,Music
Steven Wilson - Index (from Grace for Drowning),390158,Music
Drumcorps - Grist.wmv,60120,Music
Telefon Tel Aviv - Sound In a Dark Room,1219258,Music
No Money & Uman - Requiem,10108,Music
REMEMBER THE 90'S - Dance Mix !,517013,Music
2AM (투에이엠) - I Was Wrong (잘못했어) 10.03.26,450649,Music
Olivia Newton-John - Physical (Official Video),27833565,Music
THROWDOWN - Baby Got back,1058795,Music
Fiona Apple - "Across The Universe",7558141,Music
muse - feeling good,2073883,Music
Mark Ruff Ryder & Mc Vapour video. move your body (school rap) ukunderground  strictly underground,76407,Music
microKORG XL,488137,Music
He Is We- Prove You Wrong,810544,Music
All Around The World—Open Up Your Heart...Forever United!,112582,Music
Symphony of Science - 'We Are All Connected' (ft. Sagan Feynman deGrasse Tyson & Bill Nye),8183897,Music
Sick Muse [Official Music Video - HD] - METRIC,7099461,Music
Jeff Buckley - Hallelujah (Official Video),169781197,Music
Imogen Heap - Hide And Seek (Official Video),29213174,Music
U2 - Beautiful Day (Official Music Video),147666222,Music
B.o.B - Airplanes (feat. Hayley Williams of Paramore) [Official Video],562178764,Music
OneRepublic - Feel Again (Official Music Video),44804792,Music
Mumford & Sons - The Cave,17578870,Music
The Fray - Heartbeat (Official Video),12351396,Music
Tyler The Creator Interview with Pitchfork! HD,439526,Entertainment
Boulevard of Broken Dreams Asia Extra Interview,14981,People & Blogs
Nirvana Lithium-Lyrics,15735808,Music
An Idiot Abroad - Ricky Gervais laughing,1481422,Entertainment
KORPIKLAANI - Vodka (OFFICIAL VIDEO),37739905,Music
Halloween Scare Prank,4617301,Comedy
Boot leg fireworks gone wrong,844692,Entertainment
Puerto Rico 2005,268,Travel & Events
Laughing Samoan 3-Off Work,587303,Comedy
streetlight manifesto lyrics-point/counterpoint,287305,Music
B.O.B - Nothin On You Official Video Cover,1802716,Music
Tammy Wynette-Stand By Your Man (60's),1608119,Music
Mike Mains & the Branches - Life,28738,Music
Turnabout Jazz Soul - Track 8 - Godot - The Fragrance of Dark Coffee,9842516,Music
Blutengel - Reich mir die Hand (Official Music Video),21703232,Entertainment
Teenage Jesus and the Jerks - My Eyes,66584,Music
The Saga of Sydney Spacepig by Jefferson Airplane,10968,Music
RUN DMC - It's Tricky (Official Video),71005333,Music
Phantom of the Opera,23066862,Entertainment
Zappa's Universe "Heavenly Bank Account" Rockapella,25849,Music
Amon Düül II - Phallus Dei,81533,Music
You and Me - Alice Cooper,967671,Music
Better Now - Collective Soul,827213,Music
Queen - I Can't Live With You (1991),509195,Music
Marla 3,63718,Film & Animation
Fightclub- I'm Jack's Colon,22504,Film & Animation
Teo Torriatte(Let Us Cling Together) Queen live at Japan,694974,Music
Joseph Fritzl. A Man A Vision A Tribute.,113667,News & Politics
James Blake - To Care,255273,Music
James Blake - Limit To Your Love (Official Video),25969100,Music
CocoRosie - Lemonade (OFFICIAL VIDEO),12578468,Music
Nujabes - Kumomi,155479,Music
Nujabes- Mystline [Full Version],5137716,Film & Animation
FUGEES "Nappy heads (Mona Lisa)",374237,Music
Itch with a B.,715159,Music
Kenji - Fort Minor,3077818,Music
Fat Jon - How you Feel,1977240,Music
Lady Gaga - Applause (Official Music Video),371551783,Music
A Good One - "After The Rain",585395,Music
Unstoppable - Motivational Video,17382210,Film & Animation
Suzanne Vega: Undertow - Budapest 2009,8129,Music
Suzanne Vega: Undertow - Budapest 2009,8129,Music
Kimberly Cole Dance Audition (Keith Apicary),6006790,Comedy
Ghostbusters Stay Puft Man,6136009,Comedy
Voltaire- BRAINS!,575143,Music
Voltaire - The Chosen,164342,Music
Daisy - Brand New,58891,Entertainment
Counting Crows - Perfect Blue Buildings,1565378,Music
Joanna Newsom - Walnut Whales (Full EP),134804,Music
CSS - City Grrrl,68724,People & Blogs
Baby Elephant Walk,1083628,Pets & Animals
Baby Elephant Walk,1083628,Pets & Animals
Heart - What About Love? (Official Music Video),38448728,Music
Reel Big Fish - Sell Out,1820725,Music
Freestyle Fellowship - When The Sun Took A Day Off And The Moon Stood Still,218104,Music
Freestyle Fellowship,18897,Music
Dir en Grey - Diabolos,453563,Music
Krallice - Dimensional Bleedthrough - HD,61872,Music
Dir en Grey - Hageshisa To Kono Mune No Naka De Karamitsuita Shakunetsu No Yami,238742,Music
Sleeper Agent-Celabrasion-04.Love Blood,48135,Music
Muse - Unnatural Selection,7079549,Music
Mononoke Hime - Imaginary Flying Machines,63540,People & Blogs
Lykke Li - Love Out Of Lust,3832537,Entertainment
Lykke Li - I Follow Rivers (Director: Tarik Saleh),73494560,Entertainment
Best Coast "When I'm With You",2656078,Music
Through Tears Of Joy- Orchestra Lunatica  (The Losers 2010),172947,Music
School of Seven Bells - "Half Asleep",1190962,Music
Wicked Games - (The weeknd cover) - Cœur de Pirate,1237587,Music
Subset   She Never Sleeps,17687,Music
Life Goes On - Tupac,130570323,Music
Spandau Ballet - True (HD Remastered),149751686,Music
Chris Brown - Fine China (Official Music Video),89545795,Music
Usher - Burn (Official Music Video),230479103,Music
Usher Alicia Keys - My Boo (Official Music Video),137660832,Music
Rihanna - We Ride,80630634,Music
2pac- Fame,3866671,Music
"At Seventeen" by Janis Ian {lyrics},1403469,Music
The Myrrors - Warpainting,5693609,Music
Lenny Kravitz - It Ain't Over Til It's Over (Official Music Video),35752422,Music
Fiona Apple - Criminal (Official Video),35603488,Music
Fiona Apple - Every Single Night (Official Video),5524816,Music
Michael Jackson - Smooth Criminal (Official Video - Shortened Version),84349609,Music
kiss - Christine sixteen (Love gun),844189,Music
DRAW MY LIFE - Laci Green,1037118,Entertainment
RSA ANIMATE: The Empathic Civilisation,3147825,News & Politics
Barton Hollow | The Civil Wars | OFFICIAL MUSIC VIDEO | [HD],2832521,Music
korean drummer rocks out,1093432,Entertainment
Korean Drummer - Freestyle,32552,Music
SPAWN OF POSSESSION - "Where Angels Go Demons Follow",169645,Music
'Til Tuesday - Voices Carry (Official Video),19105443,Music
edie brickell - what i am,1267446,Music
Blue October - Dirt Room,3970525,Music
Theory of a Deadman - Bad Girlfriend [OFFICIAL VIDEO],9031033,Music
God Is An Astronaut - Darkfall,145785,Music
Die Ärzte wie es geht,3811867,Music
Staind - Believe (Official Music Video),3970498,Music
To the Moon and Back (Shepard & Garrus romance story),16673,Gaming
Uzi Lover,227344,Comedy
The Greatest Speech Ever Made,16855264,Entertainment
married myself (Jam S1E01),26905,Comedy
Shugo Tokumaru (トクマルシューゴ) - Lahaha (Official Music Video),156950,Music
ｲﾝｺくん迫真のモノマネ.mp4,2443584,Pets & Animals
The Stranger Billy Joel,4221466,Music
Coldplay-Yellow-Lyrics,24982170,Music
Waiting - Green Day (Official Music Video)  [HQ],2757095,Music
Total Eclipse of The Heart Cover,923,Entertainment
Dance of The Eyeballs,4793,Entertainment
Moondance (With Piano),1436,Music
Draw with Me,4494884,Entertainment
Lisa Mitchell - Neopolitan Dreams (Sound Remedy Remix) [Dubstep] [HD] [Free-DL],119311,Music
Angry Hamster,96117,Entertainment
Korn 'Narcissistic Cannibal (feat Skrillex and Kill the Noise)',11780071,Music
Peek-A-Boo Chinchilla,286127,Pets & Animals
Keirsey Personality Types: Portrait of an Idealist (ENFP INFP ENFJ INFJ),78913,People & Blogs
Sailor Moon Classic Speech,22120,Film & Animation
Chaplins Time Traveler,6941349,Film & Animation
All About Halifax,2059933,Comedy
B.o.B - Airplanes (feat. Hayley Williams of Paramore) [Official Video],562179084,Music
SoJam 2011 Collegiate Competition - Acappology,3357,Music
Bob Dylan - Tangled Up In Blue (Video),24794870,Music
John Mayer - XO (Official Audio),15428286,Music
The Pains of Being Pure at Heart - Young Adult Friction - (3 of 10),141101,People & Blogs
Coldplay - Lovers In Japan (Official Video),23692904,Music
Admiral Fallow - The Paper Trench [Official Music Video],238000,Music
Snow Patrol - How to be Dead,1143775,Music
The Mountain Goats - Up The Wolves,914004,Music
Korn - Falling Away from Me (Official Music Video),101389721,Music
Pendulum - I'm Not alone (Live),1683747,Music
Red Hot Chili Peppers - Don't Forget Me (Live at Slane Castle),1449922,Music
Radiohead - Up On The Ladder [In Rainbows Disc 2],365968,Music
Radiohead - Up On The Ladder [In Rainbows Disc 2],365968,Music
Snow Patrol - Chasing Cars (Official Video),248583015,Music
Snow Patrol - Hands Open (Visualiser),1500046,Music
Snow Patrol - Run (Official Video),42581421,Music
Way Back When - Kodaline [In A Perfect World],770763,Music
Soul Asylum - Runaway Train (Official Video),149130481,Music
Enter Shikari - Sssnakepit (Official Music Video),1967941,Music
Enter Shikari - Sssnakepit (Official Music Video),1967941,Music
Nine Inch Nails - Came Back Haunted,6308854,Music
Rise Against - The Art of Losing,147739,Music
Ben Nichols - The Last Pale Light In The West,2808744,Music
Fightstar Amaze Us,22024,Music
Red Hot Chili Peppers - Scar Tissue [Official Music Video],313526292,Music
Mumford & Sons - The Cave,35586003,Music
Al Green - Let's Stay Together,180786276,Music
public enemy - he got game ( HQ ),3372225,Music
T-Bag 80's tv series,62076,Entertainment
Lisa Hannigan - I Don't Know,3666422,Music
Under Pressure,13013043,Music
Luke O'Dell Introvert Extrovert (original),400228,Entertainment
MACKLEMORE & RYAN LEWIS - THRIFT SHOP FEAT. WANZ (OFFICIAL VIDEO),1504853463,Music
Jalan Jalan - Lotus (Dragon Hunters),484168,Music
Black Tape for a Blue Girl - A Livery of Bachelors,10962,Music
Rumi Poems,164907,Music
Dark Sanctuary Summoning Of The Muse,37749,Music
Totally Enormous Extinct Dinosaurs - Garden (Original Video),2830029,Music
Gyptian - Love Against The Wall,985776,Music
Single Again - Trina,602793,Entertainment
Nero - Crush On You,19239497,Music
Magnetic Man Ft. Katy B - Crossover,751440,Music
Florence + The Machine - Cosmic Love,63829737,Music
Million Stylez - Miss Fatty,37796934,Music
Beenie Man - Swing Eh Weh,489979,Music
Cover Tune Grab Bag - "Ob-La-Di Ob-La-Da",4003851,Music
Party rock Cantina Band,4643179,Entertainment
A Great Big World - I Really Want It (Lyric Video),1927575,Music
Eagles Are Turning People Into Horses: The Movie,1342992,Comedy
Balls Of Steel - Neg's Urban Sports - Knock And Don't Run,5834599,Entertainment
Mouthmusic Seinn O,10620,Music
Corinne Bailey Rae......Breathless,679434,Entertainment
REV UP THOSE GODDAMN FRYERS,829111,Pets & Animals
Port Blue Setting Sail,203921,Music
Look Away-Thousand Foot Krutch,30445,Music
Everything by Lifehouse,42555394,Music
KMFDM - Mysterious Ways (U2 Cover),73427,Music
Groovefinder Vs Nina Simone - Ain't Got No (I Got Life),215707,Music
